Fecha,Dia,Llamadas,DiaNormal,LlamadasNormal
17/04/20,108,256,1.85913428267232,0.501960784313726
18/04/20,109,301,1.87634848899336,0.590196078431373
19/04/20,110,318,1.8935626953144,0.623529411764706
20/04/20,111,285,1.91077690163544,0.558823529411765
21/04/20,112,226,1.92799110795648,0.443137254901961
22/04/20,113,217,1.94520531427752,0.425490196078431
23/04/20,114,242,1.96241952059856,0.474509803921569
24/04/20,115,244,1.9796337269196,0.47843137254902
25/04/20,116,191,1.99684793324064,0.374509803921569
26/04/20,117,213,2.01406213956168,0.417647058823529
27/04/20,118,233,2.03127634588272,0.456862745098039
28/04/20,119,176,2.04849055220376,0.345098039215686
29/04/20,120,125,2.0657047585248,0.245098039215686
30/04/20,121,173,2.08291896484584,0.33921568627451
01/05/20,122,181,2.10013317116688,0.354901960784314
